id,original_url,source_page,original_filename,local_path,size_bytes,format,category,classification,language_context,alt_text,visual_subject,current_usage,rights_or_provenance_note,replacement_strategy,replacement_asset,status
CBOS-AST-0259,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_19.jpg?itok=dLKAUTTe,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_19.jpg,cbos-source-assets/original/other/other_259_CBOS%20logo%20Black_6_256_19.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 19.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0260,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_27.jpg?itok=do_m5AfE,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_27.jpg,cbos-source-assets/original/other/other_260_CBOS%20logo%20Black_6_256_27.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 27.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0261,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_24.jpg?itok=NrCzWTpM,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_24.jpg,cbos-source-assets/original/other/other_261_CBOS%20logo%20Black_6_256_24.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 24.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0262,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_23.jpg?itok=jVjYcIvg,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_23.jpg,cbos-source-assets/original/other/other_262_CBOS%20logo%20Black_6_256_23.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 23.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0263,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_22.jpg?itok=BKY-GN3c,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_22.jpg,cbos-source-assets/original/other/other_263_CBOS%20logo%20Black_6_256_22.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 22.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0264,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_21.jpg?itok=V0axobnF,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_21.jpg,cbos-source-assets/original/other/other_264_CBOS%20logo%20Black_6_256_21.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 21.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0265,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_20.jpg?itok=xMLdLEl8,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_20.jpg,cbos-source-assets/original/other/other_265_CBOS%20logo%20Black_6_256_20.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 20.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0266,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_25.jpg?itok=9QFgswt_,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_25.jpg,cbos-source-assets/original/other/other_266_CBOS%20logo%20Black_6_256_25.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 25.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0267,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_18.jpg?itok=r-XGZrgS,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_18.jpg,cbos-source-assets/original/other/other_267_CBOS%20logo%20Black_6_256_18.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 18.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0268,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_17.jpg?itok=DxglPmtN,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_17.jpg,cbos-source-assets/original/other/other_268_CBOS%20logo%20Black_6_256_17.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 17.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
